"date","calls"
2011-10-20,360
2011-10-19,267
2011-10-18,302
2011-10-17,288
2011-10-16,255
2011-10-15,339
2011-10-14,275
2011-10-13,282
2011-10-12,320
2011-10-11,264
2011-10-10,267
2011-10-09,247
2011-10-08,356
2011-10-07,304
2011-10-06,353
2011-10-05,282
2011-10-04,243
2011-10-03,260
2011-10-02,210
2011-10-01,303
2011-11-30,281
2011-11-29,273
2011-11-28,281
2011-11-27,223
2011-11-26,289
2011-11-25,265
2011-11-24,197
2011-11-23,294
2011-11-22,252
2011-11-21,253
2011-11-20,237
2011-11-19,328
2011-11-18,294
2011-11-17,260
2011-11-16,256
2011-11-15,292
2011-11-14,270
2011-11-13,224
2011-11-12,282
2011-11-11,259
2011-11-10,286
2011-11-09,236
2011-11-08,246
2011-11-07,254
2011-11-06,240
2011-11-05,99
2011-11-04,292
2011-11-03,263
2011-11-02,253
2011-11-01,275
2011-12-31,233
2011-12-30,282
2011-12-29,272
2011-12-28,320
2011-12-27,256
2011-12-26,223
2011-12-25,197
2011-12-24,242
2011-12-23,256
2011-12-22,281
2011-12-21,308
2011-12-20,290
2011-12-19,267
2011-12-18,216
2011-12-17,275
2011-12-16,285
2011-12-15,285
2011-12-14,280
2011-12-13,239
2011-12-12,243
2011-12-11,218
2011-12-10,261
2011-12-09,314
2011-12-08,318
2011-12-07,306
2011-12-06,281
2011-12-05,251
2011-12-04,218
2011-12-03,295
2011-12-02,399
2011-12-01,302
2012-01-31,310
2012-01-30,296
2012-01-29,287
2012-01-28,272
2012-01-27,343
2012-01-26,386
2012-01-25,294
2012-01-24,247
2012-01-23,258
2012-01-22,236
2012-01-21,309
2012-01-20,342
2012-01-19,377
2012-01-18,262
2012-01-17,278
2012-01-16,235
2012-01-15,219
2012-01-14,286
2012-01-13,290
2012-01-12,321
2012-01-11,251
2012-01-10,274
2012-01-09,238
2012-01-08,177
2012-01-07,247
2012-01-06,300
2012-01-05,287
2012-01-04,249
2012-01-03,250
2012-01-02,213
2012-01-01,208
2012-02-29,258
2012-02-28,229
2012-02-27,256
2012-02-26,201
2012-02-25,247
2012-02-24,407
2012-02-23,370
2012-02-22,319
2012-02-21,320
2012-02-20,287
2012-02-19,248
2012-02-18,261
2012-02-17,333
2012-02-16,313
2012-02-15,263
2012-02-14,272
2012-02-13,269
2012-02-12,224
2012-02-11,312
2012-02-10,320
2012-02-09,333
2012-02-08,309
2012-02-07,288
2012-02-06,209
2012-02-05,244
2012-02-04,315
2012-02-03,391
2012-02-02,326
2012-02-01,271
2012-03-31,270
2012-03-30,272
2012-03-29,241
2012-03-28,252
2012-03-27,247
2012-03-26,255
2012-03-25,237
2012-03-24,286
2012-03-23,309
2012-03-22,270
2012-03-21,482
2012-03-20,257
2012-03-19,295
2012-03-18,239
2012-03-17,253
2012-03-16,331
2012-03-15,252
2012-03-14,272
2012-03-13,255
2012-03-12,280
2012-03-11,205
2012-03-10,291
2012-03-09,312
2012-03-08,290
2012-03-07,227
2012-03-06,257
2012-03-05,236
2012-03-04,206
2012-03-03,271
2012-03-02,345
2012-03-01,283
2012-04-30,247
2012-04-29,235
2012-04-28,319
2012-04-27,377
2012-04-26,320
2012-04-25,317
2012-04-24,296
2012-04-23,275
2012-04-22,227
2012-04-21,291
2012-04-20,365
2012-04-19,315
2012-04-18,279
2012-04-17,294
2012-04-16,291
2012-04-15,250
2012-04-14,317
2012-04-13,358
2012-04-12,309
2012-04-11,227
2012-04-10,256
2012-04-09,277
2012-04-08,214
2012-04-07,300
2012-04-06,337
2012-04-05,272
2012-04-04,221
2012-04-03,248
2012-04-02,354
2012-04-01,174
2012-05-31,408
2012-05-30,315
2012-05-29,306
2012-05-28,235
2012-05-27,205
2012-05-26,273
